VIN;Автосалон;Марка;Модель;Год выпуска;Пробег;Состояние исходное;Состояние;В основной выборке;Ценовой сегмент;Срок хранения;Срок публикации;Цена продажи факт;% цены к рынку;МЦП;% цены к МЦП;% цены к МЦП исходный;Отклонение от МЦП, ₽;Отклонение от МЦП, % п.п.;Суммарные затраты;% затрат к рынку выбытие;GM1, ₽;GM1, %;GM2, ₽;GM2, %;Категория GM2;Средний пробег рынка;Количество звонков за последнее время;Количество звонков;Статус звонков;Скоринг исходный;Средняя скорость продажи;Оценщик;Менеджер по продажам;Контракт;% затрат к рынку оценка;Собственнику;Подготовка оценка;Цена продажи из оценки (не МЦП);Оценок по VIN;Оценщики все;Менеджеры все;Дублей в выбытиях;Дублей в МЦП;Есть МЦП;Есть оценка;flag_no_publication;flag_zero_calls;flag_calls_no_data;flag_below_market;flag_below_market_90;flag_below_market_80;flag_quick_below_market;flag_below_ocp;flag_below_ocp_95;flag_below_ocp_90;flag_negative_gm2;flag_multiple_evaluations;Риск-балл;Уровень риска;Риск-флаги
Z8PFF3A5XEA068111;Avangard Приморский;Great Wall;Hover H3;2014;152908;Плохое (D);D;True;<1 млн ₽;5.0;0.0;618000.0;81.0;;;;;;309000.0;41.0;309000.0;50.0;214983.0;34.8;Высокая прибыль;150944;;;нет данных;3-;14;Вырышев Максим;Вырышев Максим;Trade-In на новый;67.0;500000.0;20000.0;577778.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;True;False;True;True;True;False;True;False;False;False;False;False;8;Высокий;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже рынка ≤7 дней"
XW8ZZZ4G7GG038680;Авангард Выкуп;Audi;A6;2015;303000;Не указано;Не указано;True;1–2 млн ₽;0.0;0.0;1256000.0;76.0;;;;;;1305600.0;79.0;-49600.0;-4.0;-35647.0;-2.8;Убыток;196609;;;нет данных;2+;38;Мироненко Алексей;Мироненко Алексей;Выкуп;80.0;1728778.0;9622.0;2173000.0;2;"Безносов Никита; Мироненко Алексей";"Безносов Никита; Мироненко Алексей";2;2;False;True;True;False;True;True;True;True;True;False;False;False;True;True;12;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; GM2<0; несколько оценок"
LFMJN5BF3R3110960;Авангард Выкуп;Toyota;RAV4;2024;22186;Отличное (A);A;True;3–5 млн ₽;4.0;0.0;4000000.0;100.0;;;;;;3600000.0;90.0;400000.0;10.0;265293.0;6.6;Средняя прибыль;24188;;;нет данных;2;44;Безносов Никита;Безносов Никита;Выкуп;80.0;3101578.0;9622.0;3889000.0;1;Безносов Никита;Безносов Никита;1;1;False;True;True;False;True;False;False;False;False;False;False;False;False;False;3;Средний;"без публикации; нет данных по звонкам"
XW8ZZZ5NZDG132092;Авангард Выкуп;Volkswagen;Tiguan;2013;135701;Хорошее (B);B;True;1–2 млн ₽;10.0;31.0;1070000.0;89.0;;;;;;935000.0;78.0;135000.0;13.0;82718.0;7.7;Высокая прибыль;191247;1.0;1.0;звонки были;4-;32;Бабкин Кирилл;Бабкин Кирилл;Выкуп;80.0;914378.0;9622.0;1155000.0;1;Бабкин Кирилл;Бабкин Кирилл;1;1;False;True;False;False;False;True;True;False;False;False;False;False;False;False;3;Средний;"ниже рынка; ниже 90% рынка"
LVVDB21B3PD172006;Avangard Приморский;Omoda;C5;2023;48502;Среднее (C);C;True;1–2 млн ₽;0.0;0.0;1380000.0;78.0;1586206.896551724;87.0;87.0;-206206.89655172406;-13.0;9000.0;100.0;;;34370.0;2.5;Низкая прибыль;44649;;;нет данных;4+;20;Вырышев Максим;Вырышев Максим;Trade-In на новый;77.0;1350000.0;20000.0;1462000.0;1;Вырышев Максим;Вырышев Максим;1;1;True;True;True;False;True;True;True;True;True;True;True;True;False;False;15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП"
XW7B14HK20S220322;Avangard Приморский;Toyota;Camry;2021;281744;Плохое (D);D;True;1–2 млн ₽;0.0;0.0;1400000.0;63.0;1489361.7021276597;94.0;94.0;-89361.7021276597;-6.0;1269000.0;57.0;131000.0;9.0;90637.0;6.5;Средняя прибыль;101288;;;нет данных;4-;28;Вырышев Максим;Вырышев Максим;Trade-In на новый;56.99999999999999;1260000.0;20000.0;1422222.0;1;Вырышев Максим;Вырышев Максим;1;1;True;True;True;False;True;True;True;True;True;True;True;False;False;False;14;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП"
XZGEE04A8PA859255;Avangard Приморский;Haval;Jolion;2023;95531;Среднее (C);C;True;1–2 млн ₽;8.0;2.0;1390000.0;93.0;;;;;;989000.0;66.0;401000.0;29.0;276201.0;19.9;Высокая прибыль;39837;4.0;4.0;звонки были;1+;;Вырышев Максим;Вырышев Максим;Trade-In на новый;69.0;1000000.0;20000.0;1133333.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;False;False;False;True;False;False;True;False;False;False;False;False;4;Средний;"ниже рынка; ниже рынка ≤7 дней"
YV1MW214272323766;Avangard Приморский;Volvo;V50;2007;418419;Плохое (D);D;True;<1 млн ₽;5.0;0.0;215000.0;31.0;228723.40425531915;94.0;94.0;-13723.404255319154;-6.0;105390.0;15.0;109610.0;51.0;75905.0;35.3;Высокая прибыль;245250;;;нет данных;;;Параничев Андрей;Параничев Андрей;Trade-In на новый;56.00000000000001;211470.0;20000.0;293000.0;1;Параничев Андрей;Параничев Андрей;1;1;True;True;True;False;True;True;True;True;True;True;True;False;False;False;14;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП"
X7LHSRDB467946735;Avangard Приморский;Renault;Duster;2021;91002;Хорошее (B);B;True;1–2 млн ₽;7.0;1.0;1790000.0;96.0;;;;;;1575390.0;84.0;214610.0;12.0;144001.0;8.0;Высокая прибыль;81567;2.0;2.0;звонки были;2+;;Жиганов Василий;Жиганов Василий;Trade-In;83.0;1500000.0;20000.0;1688889.0;1;Жиганов Василий;Жиганов Василий;1;1;False;True;False;False;False;True;False;False;True;False;False;False;False;False;4;Средний;"ниже рынка; ниже рынка ≤7 дней"
XW8ZZZ5NZDG127020;Avangard Приморский;Volkswagen;Tiguan;2013;152800;Среднее (C);C;True;1–2 млн ₽;1.0;0.0;1120000.0;74.0;;;;;;909000.0;60.0;211000.0;19.0;146405.0;13.1;Высокая прибыль;175319;;;нет данных;4-;26;Вырышев Максим;Вырышев Максим;Trade-In на новый;72.0;1050000.0;20000.0;1188889.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
SB1BG76L10E007352;Avangard Приморский;Toyota;Avensis;2009;211824;Хорошее (B);B;True;<1 млн ₽;1.0;0.0;850000.0;78.0;;;;;;709000.0;65.0;141000.0;17.0;97282.0;11.4;Высокая прибыль;222519;;;нет данных;1;;Параничев Андрей;Параничев Андрей;Trade-In на новый;77.0;801920.0;20000.0;934000.0;1;Параничев Андрей;Параничев Андрей;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
VF38D4HLACL036980;Avangard Приморский;Peugeot;508;2012;146603;Хорошее (B);B;True;<1 млн ₽;2.0;0.0;850000.0;88.0;934065.934065934;91.0;91.0;-84065.93406593404;-9.0;706966.0;73.0;143034.0;17.0;98665.0;11.6;Высокая прибыль;205417;;;нет данных;;;Симаньков Артем;Симаньков Артем;Trade-In на новый;68.0;620800.0;20000.0;712000.0;1;Симаньков Артем;Симаньков Артем;1;1;True;True;True;False;True;True;True;False;True;True;True;False;False;False;12;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП"
XWF0AHL48C0007655;Avangard Приморский;Opel;Astra;2011;117132;Плохое (D);D;True;<1 млн ₽;0.0;0.0;310000.0;53.0;;;;;;250000.0;43.0;60000.0;19.0;42200.0;13.6;Высокая прибыль;194537;;;нет данных;3+;41;Параничев Андрей;Параничев Андрей;Trade-In на новый;72.0;400000.0;20000.0;525000.0;1;Параничев Андрей;Параничев Андрей;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
XWEJ281EAL0000223;Avangard Приморский;Kia;Soul;2019;92600;Плохое (D);D;True;<1 млн ₽;1.0;0.0;900000.0;61.0;1000000.0;90.0;90.0;-100000.0;-10.0;800000.0;54.0;100000.0;11.0;69895.0;7.8;Высокая прибыль;122585;;;нет данных;1;;Параничев Андрей;Параничев Андрей;Trade-In на новый;77.0;1113100.0;20000.0;1259000.0;1;Параничев Андрей;Параничев Андрей;1;1;True;True;True;False;True;True;True;True;True;True;True;False;False;False;14;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП"
XWFSD9EM1E0000346;Avangard Приморский;Opel;Meriva;2013;150206;Среднее (C);C;True;<1 млн ₽;4.0;2.0;750000.0;102.0;;;;;;585000.0;80.0;165000.0;22.0;114168.0;15.2;Высокая прибыль;167261;2.0;2.0;звонки были;1+;;Вырышев Максим;Вырышев Максим;Trade-In на новый;81.0;585000.0;20000.0;672222.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;False;False;False;False;False;False;False;False;False;False;False;False;0;Низкий;
WP1ZZZ9YZLDA35117;Авангард Выкуп;Porsche;Cayenne;2023;109341;Не указано;Не указано;True;Нет данных;0.0;0.0;;;;;;;;;;;;;;;26612;;;нет данных;;;Богачев Андрей;Богачев Андрей;Выкуп;81.0;6114400.0;20000.0;6816000.0;2;"Безносов Никита; Богачев Андрей";"Безносов Никита; Богачев Андрей";1;1;False;True;True;False;True;False;False;False;False;False;False;False;False;True;3;Средний;"без публикации; нет данных по звонкам; несколько оценок"
SALLAAAF6DA671771;Avangard Приморский;Land Rover;Discovery;2013;189593;Среднее (C);C;True;2–3 млн ₽;8.0;8.0;2145000.0;85.0;;;;;;1721100.0;69.0;423900.0;20.0;283482.0;13.2;Высокая прибыль;237920;0.0;0.0;0 звонков;2+;39;Вырышев Максим;Вырышев Максим;Trade-In на новый;81.0;1916800.0;20000.0;2152000.0;2;"Вырышев Максим; Жиганов Василий";"Вырышев Максим; Жиганов Василий";1;1;False;True;False;True;False;True;True;False;False;False;False;False;False;True;5;Средний;"0 звонков; ниже рынка; ниже 90% рынка; несколько оценок"
