Риск-балл;Уровень риска;Риск-флаги;VIN;Автосалон;Марка;Модель;Год выпуска;Пробег;Состояние;Ценовой сегмент;Цена продажи факт;МЦП;Отклонение от МЦП, ₽;% цены к МЦП;% цены к рынку;Срок публикации;Срок хранения;Количество звонков;Статус звонков;GM2, ₽;GM2, %;Оценщик;Менеджер по продажам;Контракт;% затрат к рынку оценка;Оценок по VIN;flag_multiple_evaluations
15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП";JTJBERBZ202066318;Avangard Приморский;Lexus;NX;2020;53152;B;2–3 млн ₽;2910000.0;3383720.9302325584;-473720.9302325584;86.0;76.0;0.0;6.0;;нет данных;130964.0;4.5;Бойцов Иван;Бойцов Иван;Trade-In на новый;75.0;1;False
15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП";Z8TGUKS10JM008079;Avangard Приморский;Mitsubishi;Pajero Sport;2019;92350;D;1–2 млн ₽;1900000.0;2261904.761904762;-361904.7619047621;84.0;63.0;0.0;4.0;;нет данных;93815.0;4.9;Тронягин Кирилл;Тронягин Кирилл;Trade-In на новый;59.0;1;False
14;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП";WDB4633461X242721;Avangard Приморский;Mercedes-Benz;G-Класс;2015;126018;C;3–5 млн ₽;3550000.0;3858695.652173913;-308695.6521739131;92.0;62.0;0.0;3.0;;нет данных;391750.0;11.0;Параничев Андрей;Параничев Андрей;Trade-In на новый;75.0;1;False
11;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже рынка ≤7 дней; ниже МЦП";YV1LFK2UCL1594859;Авангард Выкуп;Volvo;XC90;2023;139759;A;3–5 млн ₽;4475000.0;4710526.315789474;-235526.31578947417;95.0;82.0;0.0;11.0;;нет данных;231388.0;5.2;Мироненко Алексей;Мироненко Алексей;Выкуп;80.0;1;False
14;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП";WP1ZZZ95ZFLB68669;Avangard Приморский;Porsche;Macan;2015;88395;D;2–3 млн ₽;2050000.0;2277777.7777777775;-227777.77777777752;90.0;62.0;0.0;1.0;;нет данных;104459.0;5.1;Бойцов Иван;Бойцов Иван;Trade-In на новый;57.99999999999999;1;False
14;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП";W1V44770513859493;Avangard Приморский;Mercedes-Benz;Vito;2021;218974;D;2–3 млн ₽;2500000.0;2717391.304347826;-217391.30434782617;92.0;70.0;0.0;5.0;;нет данных;275580.0;11.0;Бойцов Иван;Бойцов Иван;Trade-In на новый;69.0;1;False
15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП";LVVDB21B3PD172006;Avangard Приморский;Omoda;C5;2023;48502;C;1–2 млн ₽;1380000.0;1586206.896551724;-206206.89655172406;87.0;78.0;0.0;0.0;;нет данных;34370.0;2.5;Вырышев Максим;Вырышев Максим;Trade-In на новый;77.0;1;False
15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП";Z94CT41CBHR558962;Avangard Приморский;Hyundai;Solaris;2016;147990;D;<1 млн ₽;300000.0;491803.2786885246;-191803.27868852462;61.0;38.0;0.0;5.0;;нет данных;34482.0;11.5;Поликарпов Денис;Кауров Андрей;Trade-In;44.0;1;False
15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП";XWFSK6E01C0000681;Avangard Приморский;Chevrolet;Tahoe;2012;208000;C;1–2 млн ₽;1530000.0;1719101.1235955055;-189101.1235955055;89.0;65.0;0.0;20.0;;нет данных;35628.0;2.3;Вырышев Максим;Вырышев Максим;Trade-In на новый;64.0;1;False
15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП";YV1BW754191098266;Avangard Приморский;Volvo;V70;2008;449100;C;<1 млн ₽;365000.0;553030.303030303;-188030.30303030298;66.0;43.0;0.0;11.0;;нет данных;71492.0;19.6;Вырышев Максим;Вырышев Максим;Trade-In на новый;44.0;1;False
