Метрика;Значение
Искомые автомобили, шт.;475
Искомые уникальные VIN, шт.;475
Найдены снова в продаже, шт.;22
Найдены снова в продаже, уникальные VIN, шт.;22
Доля найденных от искомых уникальных VIN, %;4.63
Сумма цен продажи Авангарда, ₽;25927000.0
Сумма цен повторных объявлений, ₽;30418000.0
Потенциальная упущенная выгода по объявлениям, ₽;4491000.0
Средняя упущенная выгода на авто, ₽;204136.36363636365
Медианная упущенная выгода на авто, ₽;136500.0
Средняя наценка к цене Авангарда, %;30.595454545454547
Медианная наценка к цене Авангарда, %;16.3
Среднее дней до новой публикации;18.222727272727273
Медиана дней до новой публикации;13.5
