Сценарий;Кол-во;Доля от основной выборки;Недобор к МЦП, ₽
Ниже МЦП;57;0.12;5346060.928197321
Ниже МЦП + ниже рынка;54;0.11368421052631579;5157770.795649456
Ниже МЦП + без публикации;33;0.06947368421052631;4198400.902751143
Ниже МЦП + срок публикации ≤7 дней;36;0.07578947368421053;4349752.4855898395
Ниже МЦП + ниже рынка + ≤7 дней;35;0.07368421052631578;4274446.363140861
Ниже МЦП + ниже рынка + без публикации;32;0.06736842105263158;4123094.780302163
Ниже МЦП + 0 звонков;4;0.008421052631578947;164240.4717275852
Ниже МЦП + нет данных по звонкам;33;0.06947368421052631;4198400.902751143
Высокий+критический риск;160;0.3368421052631579;5093275.227725314
Критический риск;114;0.24;4555768.41280484
