Риск-балл;Уровень риска;Риск-флаги;VIN;Автосалон;Марка;Модель;Год выпуска;Пробег;Состояние;Ценовой сегмент;Цена продажи факт;МЦП;Отклонение от МЦП, ₽;% цены к МЦП;% цены к рынку;Срок публикации;Срок хранения;Количество звонков;Статус звонков;GM2, ₽;GM2, %;Оценщик;Менеджер по продажам;Контракт;% затрат к рынку оценка;Оценок по VIN;flag_multiple_evaluations
15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП";JTJBERBZ202066318;Avangard Приморский;Lexus;NX;2020;53152;B;2–3 млн ₽;2910000.0;3383720.9302325584;-473720.9302325584;86.0;76.0;0.0;6.0;;нет данных;130964.0;4.5;Бойцов Иван;Бойцов Иван;Trade-In на новый;75.0;1;False
15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП";Z8TGUKS10JM008079;Avangard Приморский;Mitsubishi;Pajero Sport;2019;92350;D;1–2 млн ₽;1900000.0;2261904.761904762;-361904.7619047621;84.0;63.0;0.0;4.0;;нет данных;93815.0;4.9;Тронягин Кирилл;Тронягин Кирилл;Trade-In на новый;59.0;1;False
15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП";LVVDB21B3PD172006;Avangard Приморский;Omoda;C5;2023;48502;C;1–2 млн ₽;1380000.0;1586206.896551724;-206206.89655172406;87.0;78.0;0.0;0.0;;нет данных;34370.0;2.5;Вырышев Максим;Вырышев Максим;Trade-In на новый;77.0;1;False
15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП";Z94CT41CBHR558962;Avangard Приморский;Hyundai;Solaris;2016;147990;D;<1 млн ₽;300000.0;491803.2786885246;-191803.27868852462;61.0;38.0;0.0;5.0;;нет данных;34482.0;11.5;Поликарпов Денис;Кауров Андрей;Trade-In;44.0;1;False
15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП";XWFSK6E01C0000681;Avangard Приморский;Chevrolet;Tahoe;2012;208000;C;1–2 млн ₽;1530000.0;1719101.1235955055;-189101.1235955055;89.0;65.0;0.0;20.0;;нет данных;35628.0;2.3;Вырышев Максим;Вырышев Максим;Trade-In на новый;64.0;1;False
15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП";YV1BW754191098266;Avangard Приморский;Volvo;V70;2008;449100;C;<1 млн ₽;365000.0;553030.303030303;-188030.30303030298;66.0;43.0;0.0;11.0;;нет данных;71492.0;19.6;Вырышев Максим;Вырышев Максим;Trade-In на новый;44.0;1;False
15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП";MR0FR22G300752881;Avangard Приморский;Toyota;Hilux;2013;216300;C;1–2 млн ₽;1300000.0;1477272.7272727273;-177272.7272727273;88.0;61.0;0.0;2.0;;нет данных;61178.0;4.7;Бойцов Иван;Бойцов Иван;Trade-In на новый;74.0;1;False
15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП";X7L4SRAT455058769;Avangard Приморский;Renault;Logan;2016;192610;C;<1 млн ₽;250000.0;423728.81355932204;-173728.81355932204;59.0;41.0;0.0;3.0;;нет данных;41093.0;16.4;Параничев Андрей;Параничев Андрей;Trade-In на новый;63.0;1;False
15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП";KL1YA755JCK547596;Avangard Приморский;Chevrolet;Orlando;2011;205108;B;<1 млн ₽;515000.0;668831.1688311688;-153831.1688311688;77.0;54.0;0.0;3.0;;нет данных;64953.0;12.6;Симаньков Артем;Симаньков Артем;Trade-In на новый;44.0;1;False
15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП";X7LHSRDJN46998061;Avangard Приморский;Renault;Duster;2012;314750;D;<1 млн ₽;275000.0;381944.44444444444;-106944.44444444444;72.0;47.0;0.0;1.0;;нет данных;37767.0;13.7;Бойцов Иван;Бойцов Иван;Trade-In на новый;69.0;1;False
