Марка;Модель;Год выпуска;Цвет;VIN;Автосалон;Пробег;Состояние автомобиля;Срок хранения;Срок публикации;Цена продажи;% цены к рынку;GM2. Маржа, ₽;GM2. Маржа, %;Минимальная цена продажи (МЦП);% цены к МЦП;Контроль размещения на auto.ru
Lexus;NX;2020;зеленый;JTJBERBZ202066318;Avangard Приморский;53152;Хорошее (B);6;0;2910000;76;130964;4.5;3383720.9302325584;86;Не размещен
Mitsubishi;Pajero Sport;2019;серый;Z8TGUKS10JM008079;Avangard Приморский;92350;Плохое (D);4;0;1900000;63;93815;4.9;2261904.761904762;84;Не размещен
Mercedes-Benz;G-Класс;2015;черный;WDB4633461X242721;Avangard Приморский;126018;Среднее (C);3;0;3550000;62;391750;11;3858695.652173913;92;Не размещен
Volvo;XC90;2023;бежевый;YV1LFK2UCL1594859;Авангард Выкуп;139759;Отличное (A);11;0;4475000;82;231388;5.2;4710526.315789474;95;Не размещен
Porsche;Macan;2015;коричневый;WP1ZZZ95ZFLB68669;Avangard Приморский;88395;Плохое (D);1;0;2050000;62;104459;5.1;2277777.7777777775;90;Не размещен
Mercedes-Benz;Vito;2021;черный;W1V44770513859493;Avangard Приморский;218974;Плохое (D);5;0;2500000;70;275580;11;2717391.304347826;92;Не размещен
Omoda;C5;2023;серый;LVVDB21B3PD172006;Avangard Приморский;48502;Среднее (C);0;0;1380000;78;34370;2.5;1586206.896551724;87;Не размещен
Hyundai;Solaris;2016;серый;Z94CT41CBHR558962;Avangard Приморский;147990;Плохое (D);5;0;300000;38;34482;11.5;491803.2786885246;61;Не размещен
Chevrolet;Tahoe;2012;белый;XWFSK6E01C0000681;Avangard Приморский;208000;Среднее (C);20;0;1530000;65;35628;2.3;1719101.1235955055;89;Не размещен
Volvo;V70;2008;серебряный;YV1BW754191098266;Avangard Приморский;449100;Среднее (C);11;0;365000;43;71492;19.6;553030.303030303;66;Не размещен
Toyota;Hilux;2013;серый;MR0FR22G300752881;Avangard Приморский;216300;Среднее (C);2;0;1300000;61;61178;4.7;1477272.7272727273;88;Не размещен
Renault;Logan;2016;серый;X7L4SRAT455058769;Avangard Приморский;192610;Среднее (C);3;0;250000;41;41093;16.4;423728.81355932204;59;Не размещен
Chevrolet;Orlando;2011;серый;KL1YA755JCK547596;Avangard Приморский;205108;Хорошее (B);3;0;515000;54;64953;12.6;668831.1688311688;77;Не размещен
Changan;CS55 Plus;2023;серый;LS4ASE2E2PA263214;Avangard Приморский;101996;Среднее (C);41;39;1500000;76;100926;6.7;1630434.7826086956;92;Размещен
Hyundai;Solaris;2019;черный;Z94K241CBLR164899;Avangard Приморский;51567;Среднее (C);48;8;1210000;82;81365;6.7;1329670.3296703296;91;Размещен
Kia;Sportage;2021;черный;XWEPK81CDM0001561;Avangard Приморский;36260;Среднее (C);8;0;2647000;92;116564;4.4;2757291.666666667;96;Не размещен
Nissan;Qashqai;2018;серый;Z8NFBNJ11ES062978;Авангард Выкуп;68300;Отличное (A);43;0;1693000;86;-44988;-2.7;1801063.829787234;94;Не размещен
Renault;Duster;2012;коричневый;X7LHSRDJN46998061;Avangard Приморский;314750;Плохое (D);1;0;275000;47;37767;13.7;381944.44444444444;72;Не размещен
Kia;Soul;2019;черный;XWEJ281EAL0000223;Avangard Приморский;92600;Плохое (D);1;0;900000;61;69895;7.8;1000000.0;90;Не размещен
Lexus;RX;2001;белый;JTJHF10U710197516;Avangard Приморский;283302;Плохое (D);0;0;250000;34;30477;12.2;347222.22222222225;72;Не размещен
Mazda;CX-5;2014;серый;RUMKE1978EV024525;Avangard Приморский;158411;Среднее (C);52;49;1240000;72;6570;0.5;1333333.3333333333;93;Размещен
Toyota;Camry;2021;синий;XW7B14HK20S220322;Avangard Приморский;281744;Плохое (D);0;0;1400000;63;90637;6.5;1489361.7021276597;94;Не размещен
Mercedes-Benz;E-Класс;2020;черный;Z9M2130805L001776;Авангард Выкуп;123621;Отличное (A);52;13;2730000;102;175220;6.4;2814432.9896907215;97;Размещен
Peugeot;508;2012;коричневый;VF38D4HLACL036980;Avangard Приморский;146603;Хорошее (B);2;0;850000;88;98665;11.6;934065.934065934;91;Не размещен
Skoda;Octavia;2020;серый;XW8AC4NE6LH021405;Авангард Выкуп;72438;Отличное (A);17;1;1890000;86;92120;4.9;1968750.0;96;Размещен
Mazda;6;2021;черный;RUMGJ523804019001;Авангард Выкуп;100250;Отличное (A);0;17;2490000;89;;;2567010.309278351;97;Размещен
Nissan;Qashqai;2021;красный;Z8NFBNJ11ES132883;Avangard Приморский;119100;Среднее (C);137;130;1821000;83;-54094;-3;1896875.0;96;Размещен
Volvo;V90 Cross Country;2024;белый;YV1PZK5VCM1136711;Авангард Выкуп;144928;Отличное (A);7;0;3690000;;112479;3;3765306.12244898;98;Не размещен
Volkswagen;Polo;2012;синий;XW8ZZZ61ZCG058142;Avangard Приморский;244449;Плохое (D);10;0;210000;31;69303;33;280000.0;75;Не размещен
Lada (ВАЗ);Vesta;2020;серый;XTAGFL440LY442869;Avangard Приморский;46517;Хорошее (B);154;133;930000;84;-79420;-8.5;989361.7021276596;94;Размещен
Mazda;6;2019;серый;RUMGJ523803012161;Avangard Приморский;97408;Среднее (C);134;126;1995000;80;-82761;-4.1;2035714.2857142857;98;Размещен
